9.324241430670883179e-01,7.855259463984497204e-02,-3.955677649111923738e-02,-1.279361716558081660e-02,-6.608558389606205008e-01,-2.785396894296287007e-01
9.091114309731208598e-01,7.658893080564724287e-02,-3.859464587953406745e-02,-1.275306225990395503e-02,-6.443558011062020530e-01,-2.714823763984584026e-01
8.863816701492819305e-01,7.467418234748396388e-02,-3.765548045552018219e-02,-1.266024228644828387e-02,-6.282907933374752840e-01,-2.646403811811911533e-01
8.642202787895781890e-01,7.280714802804212626e-02,-3.673876318192859786e-02,-1.253353100272082063e-02,-6.126396013938864016e-01,-2.579944998848271442e-01
8.426130400306510726e-01,7.098665444171406436e-02,-3.584398668470782645e-02,-1.238399844497373517e-02,-5.973861317867026344e-01,-2.515315123467650738e-01
8.215460928232279914e-01,6.921155553231919666e-02,-3.497065319530383298e-02,-1.221859710333260754e-02,-5.825170622828296230e-01,-2.452416187023370719e-01
8.010059230292417842e-01,6.748073210224304896e-02,-3.411827448516956823e-02,-1.204192235901388984e-02,-5.680206984130081738e-01,-2.391170346231757393e-01
7.809793547394675572e-01,6.579309131523200516e-02,-3.328637179288879144e-02,-1.185715380077965835e-02,-5.538863920300037824e-01,-2.331512390408267410e-01
7.614535418066031847e-01,6.414756619482085698e-02,-3.247447574442524632e-02,-1.166657820038082688e-02,-5.401042250836489700e-01,-2.273385535880597386e-01
7.424159595887870333e-01,6.254311512014784635e-02,-3.168212626700438878e-02,-1.147189436379279608e-02,-5.266648260972774942e-01,-2.216738948597638814e-01
7.238543968986173027e-01,6.097872132068954398e-02,-3.090887249712755830e-02,-1.127439905656326194e-02,-5.135592572426332936e-01,-2.161526209667739007e-01
7.057569481528161992e-01,5.945339237127539311e-02,-3.015427268320874932e-02,-1.107510501230218707e-02,-5.007789411255783030e-01,-2.107704320300817225e-01
6.881120057177601002e-01,5.796615968857014162e-02,-2.941789408331179842e-02,-1.087481846792182766e-02,-4.883156110312937837e-01,-2.055233029071355244e-01
6.709082524461809083e-01,5.651607803006098579e-02,-2.869931285844894500e-02,-1.067419165451256348e-02,-4.761612756388160506e-01,-2.004074359478515144e-01
6.541346544004302821e-01,5.510222499646286187e-02,-2.799811396188726237e-02,-1.047375927398094819e-02,-4.643081930078286623e-01,-1.954192266434338632e-01
6.377804537577701494e-01,5.372370053832862397e-02,-2.731389102488803247e-02,-1.027396444021952404e-02,-4.527488507150795316e-01,-1.905552378441897898e-01
